Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Groundhog Day,1993,Harold Ramis,"['Comedy', 'Drama', 'Fantasy', 'Romance']",3.5,3.84,101,['USA'],English,"['English', 'French', 'Italian']",861868,95693,207871,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky', 'Brian Doyle-Murray', 'Marita Geraghty', 'Angela Paton', 'Rick Ducommun', 'Rick Overton', 'Robin Duke', 'Carol Bivins', 'Willie Garson', 'Ken Hudson Campbell', 'Les Podewell', 'Rod Sell', 'Tom Milanovich', 'John M. Watson Sr.', 'Peggy Roeder', 'Harold Ramis', 'David Pasquesi', 'Lee Sellars', 'Chet Dubowski', 'C.O. Erickson', 'Sandy Maschmeyer', ""Leighanne O'Neil"", 'Evangeline Binkley', 'Samuel Mages', 'Ben Zwick', 'Hynden Walch', 'Michael Shannon', 'Timothy Hendrickson', 'Martha Webster', 'Angela Gollan', 'Shaun Chaiyabhat', 'Dianne B. Shaw', 'Barbara Ann Grimes', 'Ann Heekin', 'Lucina Paquet', 'Brenda Pickleman', 'Amy Murdoch', 'Eric Saiet', 'Lindsay Albert', 'Roger Adler', 'Ben A. Fish', 'Don Riozz McNichols', 'Brian Willig', 'Richard Henzel', 'Rob Riley', 'Tony DeGuide', 'Reni Santoni']",['Columbia Pictures'],https://letterboxd.com//film/groundhog-day/
Inside the Mind of a Cat,2022,Andy Mitchell,['Documentary'],4.5,3.55,67,"['Turkey', 'USA']",English,"['English', 'Japanese', 'Russian']",26365,2888,6167,"['Yuki Hattori', 'Maryna Savitska', 'Svitlana Savytska', 'Wailani Sung', 'Kristin Vitale']",['Red Rock Films'],https://letterboxd.com//film/inside-the-mind-of-a-cat/
Fifty Shades of Grey,2015,Sam Taylor-Johnson,"['Romance', 'Thriller', 'Drama']",2.5,1.72,125,['USA'],English,['English'],402826,25955,20499,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford', 'Victor Rasuk', 'Luke Grimes', 'Marcia Gay Harden', 'Rita Ora', 'Max Martini', 'Callum Keith Rennie', 'Andrew Airlie', 'Dylan Neal', 'Elliat Albrecht', 'Rachel Skarsten', 'Emily Fonda', 'Anthony Konechny', 'Anna Louise Sargeant', 'Raj Lal', 'Matthew Hoglie']","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",https://letterboxd.com//film/fifty-shades-of-grey/
The Cat in the Hat,2003,Bo Welch,"['Comedy', 'Family', 'Fantasy', 'Adventure']",2.5,2.48,82,['USA'],English,['English'],380001,29747,45652,"['Mike Myers', 'Dakota Fanning', 'Spencer Breslin', 'Kelly Preston', 'Alec Baldwin', 'Amy Hill', 'Sean Hayes', 'Danielle C. Ryan', 'Taylor Rice', 'Brittany Oaks', 'Talia-Lynn Prairie', 'Dan Castellaneta', 'Victor Brandt', 'Daran Norris', 'Frank Welker', 'Clint Howard', 'Paige Hurd', 'Steven Anthony Lawrence', 'Paris Hilton', 'Candace Brown', 'Stephen Hibbert', 'Roger W. Morrissey', 'Norman Fessler', 'Bugsy']","['Universal Pictures', 'DreamWorks Pictures', 'Imagine Entertainment', 'Brian Grazer Productions', 'Dr. Seuss Enterprises']",https://letterboxd.com//film/the-cat-in-the-hat-2003/
Maid,2021,"John Wells, Nzingha Stewart",['Drama'],4.5,4.31,545,"['Canada', 'USA']",English,['English'],81340,8041,28895,"['Margaret Qualley', 'Nick Robinson', 'Anika Noni Rose', 'Andie MacDowell', 'Tracy Vilar', 'Billy Burke', 'Rylea Nevaeh Whittet']","['Warner Bros. Television', 'LuckyChap Entertainment', 'John Wells Productions']",https://letterboxd.com//film/maid-2021/
Gone Girl,2014,David Fincher,"['Drama', 'Thriller', 'Mystery']",4.5,4.06,149,['USA'],English,['English'],2293581,277379,857999,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Carrie Coon', 'Kim Dickens', 'Patrick Fugit', 'David Clennon', 'Lisa Banes', 'Missi Pyle', 'Emily Ratajkowski', 'Casey Wilson', 'Lola Kirke', 'Boyd Holbrook', 'Sela Ward', 'Lee Norris', 'Jamie McShane', 'Leonard Kelly-Young', 'Kathleen Rose Perkins', 'Pete Housman', 'Lynn Adrianna', 'Mark Atteberry', 'Darin Cooper', 'Kate Campbell', 'Brett Leigh', 'Antonio St. James', 'Lauren Glazier', ""Julia Prud'homme"", 'Cooper Thornton', 'Casey Ruggieri', 'Cyd Strittmatter', 'Ashley Didion', 'Lexis Nutt', 'L.A. Williams', 'Blake Sheldon', 'Sean Guse', 'Ricky Wood', 'Fred Cross', 'Scott Takeda', 'Donna Rusch', 'Kathy Sweeney-Meadows', 'Mark T Anderson', 'Scoot McNairy', 'Marc Abbink', 'Christina Alex', 'Samuel Baca', 'Bill Blair', 'Thomas R. Baker', 'Gregoer Boru', 'Will C.', 'Caroline Clements', 'Nancy DeMars', 'Davina Joy', 'Michael James Kelly', 'Elester Latham', 'Aaron Massey', 'Orion McCabe', 'Roz McHenry', 'Bryan McKinley', 'Teebone Mitchell', 'Justin Nesbitt', 'Mark Parrish', 'Jaclyn Rose', 'Sahlima', 'Joel Shock', 'Robert Tarpinian', 'Tracy Weisert', 'Michelle Winters', 'Tracy Brotherton', 'Matilde Matteucci', 'Dale Shane', 'Joey Courteau']","['20th Century Fox', 'Regency Enterprises']",https://letterboxd.com//film/gone-girl/
Fatal Affair,2020,Peter Sullivan,['Thriller'],2,1.88,89,['USA'],English,"['English', 'Spanish']",7259,1621,400,"['Nia Long', 'Stephen Bishop', 'Omar Epps', 'Aubrey Cleland', 'Maya Stojan', 'KJ Smith', 'Jason-Shane Scott', 'Carolyn Hennesy', 'Fredella Calloway', 'Estelle', 'Jacob Aaron Gaines', 'Kym Jackson', 'Lyn Alicia Henderson', 'Kate Orsini', 'Michael C. Mahon']",['Hybrid'],https://letterboxd.com//film/fatal-affair-2020/
A Perfect Story,2023,Chloe Wallace,['Comedy'],3,3.63,nan,['Spain'],Spanish,['Spanish'],3958,461,1222,"['Anna Castillo', 'Álvaro Mel', 'Ane Gabarain', 'Elena Irureta', 'Ana Belén', 'Lourdes Hernández', 'Ingrid García Jonsson', 'Jimmy Castro', 'Tai Fati', 'Lydia Pavón', 'Mario Ermito']",['Plano a plano'],https://letterboxd.com//film/a-perfect-story/
Barbie,2023,Greta Gerwig,"['Comedy', 'Fantasy', 'Adventure']",4.5,3.93,114,"['UK', 'USA']",English,['English'],2761047,354549,1199136,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Simu Liu', 'Will Ferrell', 'Michael Cera', 'Helen Mirren', 'Issa Rae', 'Alexandra Shipp', 'Emma Mackey', 'Emerald Fennell', 'Rhea Perlman', 'Hari Nef', 'Kingsley Ben-Adir', 'Ncuti Gatwa', 'Connor Swindells', 'Sharon Rooney', 'Ritu Arya', 'Ana Kayne', 'Nicola Coughlan', 'Dua Lipa', 'John Cena', 'Scott Evans', 'Jamie Demetriou', 'Andrew Leung', 'Will Merrick', 'Zheng Xi Yong', 'Asim Chaudhry', 'Ray Fearon', 'Erica Ford', 'Hannah Khalique-Brown', 'Mette Towley', 'Marisa Abela', 'Lucy Boynton', 'Rob Brydon', 'Tom Stourton', 'Chris Taylor', 'David Mumeni', 'Olivia Brody', 'Isla Ashworth', 'Eire Farrell', 'Daisy Duczmal', 'Isabella Nightingale Mercado', 'Genvieve Toussaint', 'Manuela Mora', 'Aida Sexton', 'Ann Roth', 'Millie-Rose Crossley', 'Anvita Nehru', 'Kayla-Mai Alvares', 'Luke Mullen', 'Patrick Luwis', 'Mac Brandt', 'Paul Jurewicz', 'Oraldo Austin', 'Benjamin Arthur', 'Carlos Jacott', 'Adam Ray', 'George Basil', 'Ptolemy Slocum', 'Deb Hiett', 'James Leon', 'Oliver Vaquer', 'Tony Noto', 'Christopher T. Wood', 'Annie Mumolo', 'Elise Gallup', 'McKenna Roberts', 'Brylee Hsu', 'Sasha Milstein', 'Lauren Holt', 'Sterling Jones', 'Ryan Piers Williams', 'Jamaal Lewis', 'Kathryn Akin', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Lisa Spencer', 'Naomi Weijand', 'Tom Clark', 'Ireanne Abenoja', 'Davide Albonetti', 'Charlotte Anderson', 'Michael Anderson', 'Rico Bakker', 'James Bamford', 'William John Banks', 'Callum Bell', 'Adam Blaug', 'Mason Boyce', 'Taylor Bradshaw', 'Alex Brown', 'Miekaile Browne', 'Lewis Calcutt', 'Nikkita Chadha', 'Oliver Chapman', 'Megan Charles', 'Callum Clack', 'Danny Coburn', 'Kat Collings', 'Adam Crossley', 'Sia Dauda', 'Gustave Die', 'Grace Durkin', 'Joelle Dyson', 'Lewis Easter', 'Onyemachi Ejimofor', 'Cameron Everitt', 'Luke Field-Wright', 'Sasha Flesch', 'Adam Fogarty', 'Mikey French', 'Anna-Kay Gayle', 'Charlie Goddard', 'Marlie Goddard', 'Ellis Harman', 'Yasmin Harrison', 'Josh Hawkins', 'James Healy', 'Tim Hodges', 'Mira Jebari', 'Beccy Jones', 'Thomas Kalek', 'Lily Laight', 'Maiya Leeke', 'Cristian Liberti', 'Prodromos Marneros', 'Nahum McLean', 'Jordan Melchor', 'Ramzan Miah', 'Andy Monaghan', 'Florivaldo Mossi', 'Hannah Nazareth', 'Grant Neal', 'Freja Nicole', 'Shaun Niles', 'Ella Nonini', 'Jack William Parry', 'Josie Pocock', 'Barnaby Quarendon', 'Redmand Rance', 'Zara Richards', 'Liam Riddick', 'Alana Rixon', 'Adam Paul Robertson', 'Kingdom Sibanda', 'Sebastian Skov', 'Aaron J. Smith', 'Joshua Smith', 'Lucia-Rose Sokolowski', 'Janine Somcio', 'Callum Sterling', 'Todd Talbot', 'Charles Tatman', 'Grant Thresh', 'Connor Tidman', 'Wahchi Vong', 'Jerry Wan', 'Sasha Wareham', 'Stan West', 'Oliver Wheeler', 'Josh Wild', 'Joe Wolstenholme', 'Richard Womersley', 'Ashley Young', 'Alex Sturman']","['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']",https://letterboxd.com//film/barbie/
Elemental,2023,Peter Sohn,"['Comedy', 'Romance', 'Animation', 'Fantasy', 'Family', 'Adventure']",4,3.31,102,['USA'],English,"['English', 'Spanish']",489788,96536,124232,"['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet', 'Joe Pera', 'Matthew Yang King', 'Clara Lin Ding', 'Reagan To', 'Jeff Lapensee', 'Ben Morris', 'Alex Kapp', 'P.L. Brown', 'Jonathan Adams']","['Walt Disney Pictures', 'Pixar']",https://letterboxd.com//film/elemental-2023/
