Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Spider-Man,2002,Sam Raimi,"['Science Fiction', 'Action']",3.5,3.75,121,['USA'],English,['English'],2049739,209092,517344,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson', 'Rosemary Harris', 'J.K. Simmons', 'Joe Manganiello', 'Gerry Becker', 'Bill Nunn', 'Jack Betts', 'Stanley Anderson', 'Ron Perkins', 'Michael Papajohn', 'K.K. Dodds', 'Ted Raimi', 'Bruce Campbell', 'Elizabeth Banks', 'John Paxton', 'Tim DeZarn', 'Taylor Gilbert', 'Randy Savage', 'Larry Joshua', 'Timothy Patrick Quill', 'Lisa Danielle', 'Natalie T. Yeo', 'Erica D. Porter', 'Kristen Davidson', 'Jason Padgett', 'Shan Omar Huey', 'Sally Levi', 'Evan Arnold', 'Jill Sayre', 'Jim Ward', 'David Holcomb', 'Octavia Spencer', 'Brad Grunberg', 'Shane Habberstad', 'Deborah Wakeham', 'Rachael Bruce', 'Mackenzie Bryce', 'Julia Barrie', 'Macy Gray', 'Myk Watford', 'Bill Calvert', 'Sylva Kelegian', 'Kristen Marie Holly', 'Ajay Mehta', 'Peter Appel', 'Scott Spiegel', 'Matt Smith', 'Sara Ramirez', 'Lucy Lawless', 'Jayce Bartok', 'Maribel González', 'Amy Bouril', ""Joseph D'Onofrio"", 'Jim Norton', 'Corey Mendell Parker', 'Ashley Edner', 'William Joseph Firth', 'Alex Black', 'Laura Gray', 'Joe Virzi', 'Michael Edward Thomas', 'Jeanie Fox', 'Robert Kerman', 'Stan Lee', 'Una Damon', 'Rick Avery', 'Peter Aylward', 'Jillian Clare', 'Chris Coppola', 'Jesse Heiman', 'Leroy Patterson', 'Benny Urquidez', 'Scott L. Schwartz', 'Jophery C. Brown', 'Brian J. Williams', 'Mark De Alessandro', 'Tia Dionne Hodge', 'Loren Janes', 'Andray Johnson', 'Martin Pfefferkorn', 'Tammi Sutton', 'Lindsay Thompson', 'Sean Valla', 'Pete Macnamara', 'Al Goto', 'Joni Avery', 'Sam Raimi']","['Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures']",https://letterboxd.com//film/spider-man/
Call Me by Your Name,2017,Luca Guadagnino,"['Romance', 'Drama']",4,3.87,132,"['Brazil', 'France', 'Italy', 'USA']",English,"['English', 'French', 'Italian']",1828487,255849,681160,"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg', 'Amira Casar', 'Esther Garrel', 'Victoire Du Bois', 'Vanda Capriolo', 'Antonio Rimoldi', 'Elena Bucci', 'Marco Sgrosso', 'André Aciman', 'Peter Spears', 'Andrew Duncan Hinojosa']","['La Cinéfacture', 'RT Features', 'Frenesy Film', ""Water's End Productions"", 'M.Y.R.A. Entertainment', 'CineFinance Italia']",https://letterboxd.com//film/call-me-by-your-name/
Capernaum,2018,Nadine Labaki,['Drama'],4,4.12,126,"['Cyprus', 'France', 'Lebanon', 'Qatar', 'UK', 'USA']",Arabic,"['Arabic', 'Amharic']",96910,28199,29738,"['Zain Al Rafeea', 'Yordanos Shifera', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad', 'Fadi Kamel Yousef', 'Cedra Izzam', 'Alaa Chouchnieh', 'Elias Khoury', 'Nadine Labaki', 'Nour el Husseini', 'Joseph Jimbazian', 'Samira Chalhoub', 'Farah Hasno']","['Boo Pictures', 'Mooz Films', 'Cedrus Invest Bank', 'Clandestino Filmes', 'DFI', 'KNM Films', 'Les Films des Tournelles', 'Louverture Films', 'Open City Films', 'Sunnyland Film', 'The Bridge Production', 'Sony Pictures Classics', 'Wild Bunch']",https://letterboxd.com//film/capernaum/
To the Bone,2017,Marti Noxon,['Drama'],4,2.96,107,['USA'],English,['English'],183224,14317,22852,"['Lily Collins', 'Keanu Reeves', 'Carrie Preston', 'Lili Taylor', 'Alex Sharp', 'Liana Liberato', 'Brooke Smith', 'Leslie Bibb', 'Kathryn Prescott', 'Ciara Bravo', 'Maya Eshet', 'Lindsey McDowell', 'Retta', 'Joanna Sanchez', 'Alanna Ubach', 'Hana Hayes', 'Michael B. Silver', 'Rebekah Kennedy', 'Dana L. Wilson', 'Don O. Knowlton', 'Karen Zahler', 'Leann Lei', 'Yindra Zayas', 'Lauren Jenna', 'Ronnie Clark', 'Ani Sava', 'Valerie Palincar']","['Sparkhouse Media', 'Mockingbird Pictures', 'AMBI Group']",https://letterboxd.com//film/to-the-bone-2017/
Bad Boy,2017,Yagiz Alp Akaydin,"['Drama', 'Romance']",1.5,2.34,120,['Turkey'],Turkish,['Turkish'],3604,272,58,"['Tolga Sarıtaş', 'Afra Saraçoğlu', 'Sarp Akkaya', 'Tülin Özen', 'Yigitcan Ergin', 'Aytaç Şaşmaz', 'Ortans Kıvanç', 'Demir Parscan', 'Buçe Buse Kahraman']","['TAFF Pictures', 'sanor film']",https://letterboxd.com//film/bad-boy-2017/
Gilmore Girls: A Year in the Life,2016,"Amy Sherman-Palladino, Daniel Palladino","['Comedy', 'Drama']",4.5,3.17,360,['USA'],English,['English'],42045,2834,7552,"['Lauren Graham', 'Alexis Bledel', 'Scott Patterson', 'Kelly Bishop']","['Paragon Studios', 'Warner Bros. Television']",https://letterboxd.com//film/gilmore-girls-a-year-in-the-life/
La La Land,2016,Damien Chazelle,"['Drama', 'Comedy', 'Music', 'Romance']",4,4.04,129,"['Hong Kong', 'USA']",English,['English'],2640499,381657,1119502,"['Ryan Gosling', 'Emma Stone', 'John Legend', 'Rosemarie DeWitt', 'J.K. Simmons', 'Amiée Conn', 'Terry Walters', 'Thom Shelton', 'Cinda Adams', 'Callie Hernandez', 'Jessica Rothe', 'Sonoya Mizuno', 'Claudine Claudio', 'Jason Fuchs', 'D.A. Wallach', 'Trevor Lissauer', 'Olivia Hamilton', 'Anna Chazelle', 'Marius de Vries', 'Finn Wittrock', 'Josh Pence', 'Nicole Coulon', 'Damon Gupton', 'Christopher Michael Stevens', 'Keith Harris', 'Kaveh Rastegar', 'David Douglas', 'Miles Anderson', 'Bobo Chang', 'Meagen Fay', 'John Hindman', 'Valarie Rae Miller', 'Nicole Wolf', 'Corrin Evans', 'Kiff VandenHeuvel', 'Tom Everett Scott', 'Hemky Madera', 'Zoë Hall', 'Dempsey Pappion', ""Clifton 'Fou Fou' Eddie"", 'Cal Bennett', 'Nedra Wheeler', 'Javier Gonzalez', 'Khirye Tyler', 'Briana Lee', 'Shaylah J. Stevens', 'Natalie Imani', 'Camryn Ray Cavaliero', 'Sandra Rosko', 'Arthur Horowitz', 'Reshma Gajjar', 'Candice Coke', 'Hunter Hamilton', 'Damian Gomez', 'Amanda Balen', 'Lou Becker', 'Dominic Chaiduang', 'Cindera Che', 'Chris Moss', 'Marissa Labog', 'Tiffany Daniels', 'Melinda Sullivan', 'Stephanie Landwehr', 'Britt Stewart', 'Clarice Ordaz', 'Nathan Prevost', 'Mecca Vazie Andrews', 'Scott Hislop', 'Kc Monnie', 'Krystal Ellsworth', 'Sarah Mitchell', 'Khasan Brailsford', 'Morgan Larson', 'Becca Sweitzer', 'Gakenia Muigai', 'Michael Stein', 'Mario Diaz', 'Julie Schmid', 'Samantha Abrantes', 'Lexie Contursi', 'Eartha Robinson', 'Sybil Azur', 'Tara Nicole Hughes', 'Kayla Kalbfleisch', 'Martha Nichols', 'Anthony Marciona', 'Bill Prudich', 'Robert Roldan', 'Ryan Novak', 'Demian Boergadine', 'Gustavo Vargas', 'Robert Haynes', 'Jesse Houk', 'Ana Flavia Gavlak', 'Kristin Slaysman', 'Cameron Brinkman', 'Jordan Ray Fox', 'C.J. Stussi', 'Margaret Newborn', 'Nadia Tumanova', 'Crystal Nichol', 'Kristin Elliott', 'Andrea Lareo', 'Christopher Aber', 'Anna Lunberry', 'Shannon Leann', 'Jenna Curtis', 'Noah James', 'Tommy Cooley', 'Morgan Cohen', 'Jeremy Nathan Tisser', 'Patty Tobin', 'Heather Turman', 'Ottavio Taddei', 'April Martucci', 'Trent Kerpsack', 'Kaye L. Morris', 'Vince Donvito', 'Steffen Dziczek', 'Melvin LaThomas Brimm', 'Kelly Kennedy', 'Destinee Handly', 'Tommy Otis', 'Doran Butler', 'Matt Cady', 'Carol Connors', 'Patrick Cook', ""Aaron 'Deuce' Cooke"", 'Bubba Dean Rambo', 'Nick Drago', 'Shaun Evaristo', 'Dana Fukagawa', 'Daniel Gaymon', 'Liz Imperio', 'Casey Johansen', 'Cris Judd', 'Yoori Kim', 'Bradley M. Rapier', 'Dana Wilson', 'Terrance Yates', 'Tracy Shibata', 'Dominique Domingo', 'Asiel Hardison', 'Corey Anderson', 'Nick Baga', 'Leah Adler', 'Noel Bajandas', 'Denzel Chisolm', 'Montana Efaw', 'Natalie Gilmore', 'Shannon Holtzapffel', 'Galen Hooks', 'Jeremy Hudson', 'George Lawrence Jr.', 'Scott Myrick', 'Cassidy Noblett', 'Brittany Parks', 'Víctor Rojas', 'Tony Bellissimo', 'Ryan Ramirez', 'Catalina Cat Rendic', 'Bryan Tanaka', 'Ava Bernstine', 'Quinn Lipton', 'Monie Adamson', 'Matthew Aylward', 'McKenzie Anderson', 'Pamela Chu', 'Mallauri Esquibel', 'Michael Higgins', 'Chris Jarosz', 'Matthew Kazmierczak', 'Paul Kirkland', 'Megan Lawson', 'Michael Munday', ""Brandon O'Neal"", 'Chelsea Thedinga', 'Danny Valle', 'Emily Williams', 'Deniz Altunay', 'Holly Houk', 'Clarence Robinson', 'Dapo Torimiro', 'Sasha Fine', 'Eren Kayakıran', 'Ali Arda Özdeniz', 'Phillip E. Walker', 'Susie Ganiere', 'Lynn Moore', 'Nilla Elizabeth Watkins', 'Andres Perez-Molina', 'Milica Govich', 'Frederick Keeve', 'Amanda Fields']","['Summit Entertainment', 'Black Label Media', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions', 'TIK Films']",https://letterboxd.com//film/la-la-land/
The Secret Life of Pets,2016,Chris Renaud,"['Family', 'Adventure', 'Comedy', 'Animation']",4,2.75,86,['USA'],English,['English'],454540,29077,40217,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart', 'Jenny Slate', 'Ellie Kemper', 'Albert Brooks', 'Lake Bell', 'Dana Carvey', 'Hannibal Buress', 'Bobby Moynihan', 'Chris Renaud', 'Steve Coogan', 'Michael Beattie', 'Sandra Echeverría', 'Jaime Camil', 'Kiely Renaud', 'Tara Strong', 'Jason Marsden', 'Mona Marshall', 'Brian T. Delaney', 'Bill Farmer', 'Jan Rabson', 'Ken Schretzmann', 'John Kassir', 'Danny Mann', 'Jim Ward', 'Tyler Werrin', 'Bob Bergen', 'Jim Cummings', 'Jess Harnell', 'Laraine Newman']","['Illumination', 'Universal Pictures']",https://letterboxd.com//film/the-secret-life-of-pets/
Me Before You,2016,Thea Sharrock,"['Romance', 'Drama']",4,3.29,110,['USA'],English,['English'],576880,51452,109848,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance', 'Brendan Coyle', 'Jenna Coleman', 'Matthew Lewis', 'Samantha Spiro', 'Stephen Peacocke', 'Vanessa Kirby', 'Ben Lloyd-Hughes', 'Joanna Lumley', 'Lily Travers', 'Alan Breck', 'Eileen Dunwoodie', 'Pablo Raybould', 'Gabrielle Downey', 'Henri Charles', 'Muzz Khan', 'Richard Goulding', 'Diane Morgan', 'Stephen Chance', 'Sharon Cherry Ballard', 'Chuku Modu', 'Verity Marshall', 'Manuel Severi']","['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer']",https://letterboxd.com//film/me-before-you/
Wedding Association 2: Circumcision,2015,Selçuk Aydemir,['Comedy'],2.5,2.81,107,['Turkey'],Turkish,['Turkish'],9965,301,231,"['Ahmet Kural', 'Murat Cemcir', 'Rasim Öztekin', 'Barış Yıldız', 'Devrim Yakut', 'Şinasi Yurtsever', 'İnan Ulaş Torun', 'Ayhan Taş', 'Erdal Tosun', 'Ali İhsan Varol', 'Açalya Samyeli Danoğlu', 'Jelena Božić', 'Deniz Erayvaz', 'Cemil Şahin', 'Pekcan Türkes', 'Juris Strenga', 'Ertugrul Gültekin', 'Tuğçe Kurşunoğlu', 'Lelde Dreimane', 'Hakan Akın', 'Tuna Kırlı', 'Giray Altınok', 'Nükhet Duru', 'Mustafa Keser', 'Zahide Yetis', 'Ferit Aktuğ', 'Atilla Pekdemir', 'Hüseyin Elmalıpınar', 'Mert Asker', 'Tuncay Beyazıt', 'Alper Türedi', 'Alper Kadayıfçı']",['BKM'],https://letterboxd.com//film/wedding-association-2-circumcision/
Wedding Association,2013,Selçuk Aydemir,['Comedy'],3,2.96,106,[],Turkish,"['Turkish', 'Latvian']",14631,415,420,"['Ahmet Kural', 'Murat Cemcir', 'Rasim Öztekin', 'Devrim Yakut', 'Barış Yıldız', 'İnan Ulaş Torun', 'Şinasi Yurtsever', 'Zerrin Sümer', 'Erol Aksoy', 'Sırrı Süreyya Önder', 'Kemal İnci', 'Reyhan İlhan', 'Emel Sayın', 'Arda Aktolga', 'Ahmet Akyavuz', 'Basri Albayrak', 'Adem Atbas', 'Toygun Ateş', 'Selçuk Aydemir', 'Ender Balkir', 'Jelena Božić', 'Osman Cemcir', 'Açalya Samyeli Danoğlu', 'Lelde Dreimane', 'Ezgi Duman', 'Muhammet Burak Erdogan', 'Ertugrul Gültekin', 'Sait Gür', 'Cafer S. Hadimioglu', 'Korhan Herduran', 'Ali Kabalak', 'Murat Karakoç', 'Adem Kaya', 'Binnur Kaya', 'Tuğçe Kurşunoğlu', 'Yeliz Kuvancı', 'Rihards Lepers', 'Tom J. Benedict', 'Semih Olgunöz', 'Berat Efe Parlar', 'Cemil Şahin', 'Burak Satibol', 'Juris Strenga', 'Muhammet Süt', 'Feramuz Tanriverdi', 'Olgun Toker', 'Kebire Tokur', 'Özgür Marius Toma', 'Zehra Tosun', 'Nazlı Tosunoğlu', 'Ahmet Ugurluer', 'Vedat Uyar', 'Erol Yavan', 'Kadir Yazici', 'Ayhan Yildiz', 'Zeynel Ozan Çabuk', 'Bayram Önal']",[],https://letterboxd.com//film/wedding-association/
The Hunger Games,2012,Gary Ross,"['Fantasy', 'Science Fiction', 'Adventure']",5,3.61,142,['USA'],English,['English'],2110617,120337,495785,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Stanley Tucci', 'Donald Sutherland', 'Wes Bentley', 'Toby Jones', 'Alexander Ludwig', 'Isabelle Fuhrman', 'Amandla Stenberg', 'Willow Shields', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Rhoda Griffis', 'Sandino Moya-Smith', 'Raiko Bowman', 'Dwayne Boyd', 'Anthony Reynolds', 'Judd Lormand', 'Kimiko Gelman', 'Nelson Ascencio', 'Bruce Bundy', 'Dayo Okeniyi', 'Leven Rambin', 'Jack Quaid', 'Latarsha Rose', 'Ian Nelson', 'Kalia Prescott', 'Ethan Jamieson', 'Jacqueline Emerson', 'Mackenzie Lintz', 'Imanol Yepez-Frias', 'Annie Thurman', 'Dakota Hood', 'Amber Chaney', 'Karan Kendrick', 'Shane Bissell', 'Kate Kneeland', 'Steve Coulter', 'Sharon Conley', 'Tim Taylor', 'John Ross', 'Phillip Troy Linger', 'Julie Ivey', 'Mark Meekins', 'Jeremy Marinas', 'Bill Bennett']","['Lionsgate', 'Color Force']",https://letterboxd.com//film/the-hunger-games/
The Hunger Games: Catching Fire,2013,Francis Lawrence,"['Science Fiction', 'Adventure', 'Action']",5,3.76,146,['USA'],English,['English'],1659216,111677,394084,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Donald Sutherland', 'Lenny Kravitz', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Toby Jones', 'Willow Shields', 'Sam Claflin', 'Lynn Cohen', 'Jena Malone', 'Bobby Jordan', 'Amanda Plummer', 'Jack Quaid', 'Taylor St. Clair', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Bruce Bundy', 'Nelson Ascencio', 'Afemo Omilami', 'Kimberley Drummond', 'Deena Beasley', 'Leon Lamar', 'Mandy Neuhaus', 'Erika Bierman', 'Wilbur Fitzgerald', 'Patrick St. Esprit', 'Jill Jane Clements', 'James Sutton', 'Alan Ritchson', 'Stephanie Leigh Schlund', 'Meta Golding', 'Megan Hayes', 'Stef Dawson', 'James Logan', 'E. Roger Mitchell', 'Bruno Gunn', 'Maria Howell', 'Judd Lormand', 'Elena Sanchez', 'John Casino', 'Marian Green', 'Daniel Bernhardt', 'Ravi Naidu', 'Franco Castan', 'Jared Allman', 'Laura Avnaim', 'Noëlle Renée Bercy', 'Jackson Spidell', 'Nickolas Wolf', 'Moses J. Moseley', 'Justin Hix']","['Lionsgate', 'Color Force']",https://letterboxd.com//film/the-hunger-games-catching-fire/
The Hunger Games: Mockingjay – Part 1,2014,Francis Lawrence,"['Thriller', 'Science Fiction', 'Adventure']",5,3.16,123,"['Canada', 'USA']",English,['English'],1303282,73916,212391,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland', 'Willow Shields', 'Sam Claflin', 'Jena Malone', 'Mahershala Ali', 'Natalie Dormer', 'Wes Chatham', 'Elden Henson', 'Patina Miller', 'Evan Ross', 'Paula Malcomson', 'Sarita Choudhury', 'Stef Dawson', 'Robert Knepper', 'Caitlin Fowler', 'Jada Taylor', 'Nicholas Pryor', 'Donna Biscoe', 'Michael Garza', 'Erika Bierman', 'Jenique Bennett', 'Rus Blackwell', 'Stevie Ray Dallimore', 'Breann Couch', 'Jordan Woods-Robinson', 'Katie Sawhill', 'Jackson Mizell', 'Charles Kronmuller', 'Jennifer Cocker', 'Marshall Choka', 'Tyler Lee Allen', 'Jasmine Ahnie', 'Brayden Patterson', 'Emma Elle Roberts', 'Molly Evensen', 'William Frasca', 'Joe Crosson', 'Gregory Fears', 'Charles White Jr.', 'Angel Giuffria', 'Ryan DeLaney']","['Lionsgate', 'Color Force']",https://letterboxd.com//film/the-hunger-games-mockingjay-part-1/
The Hunger Games: Mockingjay – Part 2,2015,Francis Lawrence,"['Adventure', 'Action', 'Science Fiction']",5,3.24,137,"['Germany', 'USA']",English,['English'],1171924,72028,197997,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland', 'Willow Shields', 'Sam Claflin', 'Jena Malone', 'Mahershala Ali', 'Natalie Dormer', 'Wes Chatham', 'Michelle Forbes', 'Elden Henson', 'Patina Miller', 'Evan Ross', 'Paula Malcomson', 'Eugenie Bondurant', 'Sarita Choudhury', 'Stef Dawson', 'Meta Golding', 'Omid Abtahi', 'Joe Chrest', 'Misty Ormiston', 'Kim Ormiston', 'Gwendoline Christie', 'Robert Knepper', 'Mark Jeffrey Miller', 'April Grace', 'David Hallyday', 'Linds Edwards', 'Thomas Blake Jr.', 'Cameron MacConomy', 'Desmond Phillips', 'Elle Graham', 'Lacy Dmitriew', 'Kate Rachesky', 'Phillip Troy Linger', 'Bear Lawrence', 'Theodore Lawrence', 'Brandon Cyrus', 'Toby Jones', 'Gary Sievers', 'Emma Elle Roberts', 'Alexander Yassin', 'Jasmine Ahnie', 'Sue-Lynn Ansari', 'Scott Hunter', 'Sam Hargrave', 'R. A. Rondell', 'Jean Christophe Loustau']","['Lionsgate', 'Color Force', 'Studio Babelsberg']",https://letterboxd.com//film/the-hunger-games-mockingjay-part-2/
Hotel Transylvania,2012,Genndy Tartakovsky,"['Family', 'Comedy', 'Animation', 'Fantasy']",3.5,3.2,91,['USA'],English,['English'],631858,42573,77488,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Fran Drescher', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Cee Lo Green', 'Jon Lovitz', 'Brian George', 'Luenell', 'Brian Stack', 'Chris Parnell', 'Jackie Sandler', 'Sadie Sandler', 'Robert Smigel', 'Rob Riggle', 'Paul Brittain', 'Jonny Solomon', 'Jim Wise', 'Craig Kellman', 'Brian McCann', 'James C.J. Williams', 'Rose Abdoo', 'Kirk Baily', 'Ranjani Brow', 'Corey Burton', 'Cam Clarke', 'Michael Corbett', 'Allen Covert', 'Rachel Crane', 'Collin Dean', 'Eddie Frierson', 'Bridget Hoffman', 'Rif Hutton', 'Tom Kenny', 'Ashley Lambert', 'Scott Menville', 'Edie Mirman', 'Jessica Pennington', 'Alec Rosenthal', 'Sunny Sandler', 'Katie Silverman', 'John Hans Tester', 'Sarah Thyre', 'Chris Titone', 'David Zyler', 'Maddie Taylor']","['Columbia Pictures', 'Sony Pictures Animation']",https://letterboxd.com//film/hotel-transylvania/
Home,2015,Tim Johnson,"['Comedy', 'Family', 'Science Fiction', 'Animation', 'Fantasy']",3.5,2.68,94,['USA'],English,['English'],242327,21764,23721,"['Jim Parsons', 'Rihanna', 'Steve Martin', 'Jennifer Lopez', 'Matt Jones', 'Brian Stepanek', 'April Lawrence', 'Lisa Stewart', 'Stephen Kearin', 'April Winchell']","['DreamWorks Animation', '20th Century Fox']",https://letterboxd.com//film/home-2015/
Home Alone,1990,Chris Columbus,"['Family', 'Comedy']",4,3.79,103,['USA'],English,"['English', 'French']",2027061,138831,474420,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard', 'Roberts Blossom', 'Devin Ratray', 'John Candy', 'Michael C. Maronna', 'Hillary Wolf', 'Gerry Bamman', 'Angela Goethals', 'Terrie Snell', 'Kieran Culkin', 'Diana Rein', 'Kristin Minter', 'Ralph Foody', 'Michael Guido', 'Larry Hankin', 'Ken Hudson Campbell', 'Hope Davis', 'Billie Bird', 'Bill Erwin', 'Jeffrey Wiseman', 'Virginia Smith', 'Ray Toler', 'Clarke Devereux', 'D. Danny Warhol', 'Matt Doherty', 'Jedidiah Cohen', 'Senta Moses', 'Anna Slotky', 'Gerry Becker', 'Victor Cole', 'Porscha Radcliffe', 'Brittany Radcliffe', 'Peter Siragusa', 'Alan Wilder', 'Dianne B. Shaw', 'James Ryan', 'Mark Beltzman', 'Ann Whitney', 'Jim Ortlieb', 'Monica Devereux', 'Lynn Mansbach', 'Tracy J. Connor', 'Sandra Macat', 'Richard J. Firfer', 'Kate Johnson', 'Peter Pantaleo', 'Jean-Claude Sciore', 'Edward Bruzan', 'Frank Cernugel', 'Eddie Korosa', 'Robert Okrzesik', 'Leo Perion', 'Vince Waidzulis', 'John Hardy', 'Michael Hansen']","['Hughes Entertainment', '20th Century Fox']",https://letterboxd.com//film/home-alone/
6 Years,2015,Hannah Fidell,"['Drama', 'Romance']",1,2.44,84,['USA'],English,['English'],37401,3860,2897,"['Taissa Farmiga', 'Ben Rosenfield', 'Lindsay Burdge', 'Joshua Leonard', 'Jennifer Lafleur', 'Peter Vack', 'Dana Wheeler-Nicholson', 'Jason Newman']",['Duplass Brothers Productions'],https://letterboxd.com//film/6-years/
Sausage Party,2016,"Conrad Vernon, Greg Tiernan","['Adventure', 'Fantasy', 'Comedy', 'Animation']",3.5,2.28,89,"['Canada', 'USA']",English,['English'],571991,31650,50756,"['Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Bill Hader', 'Michael Cera', 'James Franco', 'Danny McBride', 'Craig Robinson', 'Paul Rudd', 'Nick Kroll', 'David Krumholtz', 'Edward Norton', 'Salma Hayek Pinault', 'Anders Holm', 'Scott Underwood', 'Sugar Lyn Beard', 'Conrad Vernon', 'Ian James Corlett', 'Michael Daingerfield', 'Jason Simpson', 'Vincent Tong', 'Karen E. Wright', 'Lauren Miller', 'Sam Vincent', 'Greg Tiernan', 'Brian Dobson', 'Harland Williams', 'Alistair Abell', 'Iris Apatow', 'Michael Dobson', 'Ian Hanlin', 'Maryke Hendrikse', 'Nicole Oliver', 'Kelly Sheridan', 'Meat Loaf']","['Columbia Pictures', 'Annapurna Pictures', 'Point Grey Pictures', 'Nitrogen Studios Canada']",https://letterboxd.com//film/sausage-party/
The Fundamentals of Caring,2016,Rob Burnett,"['Comedy', 'Drama']",3.5,3.45,97,['USA'],English,['English'],174155,17908,34201,"['Paul Rudd', 'Craig Roberts', 'Selena Gomez', 'Jennifer Ehle', 'Megan Ferguson', 'Frederick Weller', 'Julia Denton', 'Alex Huff', 'Samantha Huskey', 'Bill Murphey', 'Alan Boell', 'Robert Walker Branchaud', 'Eric Singer', 'James Donadio', 'Donna Biscoe', 'Ashley White', 'Matthew Pruitt', 'Matt Mercurio', 'Bobby Cannavale', 'Walter Hendrix III', 'Kristi Von']","['Worldwide Pants', 'Levantine Entertainment']",https://letterboxd.com//film/the-fundamentals-of-caring/
Delibal,2015,Ali Bilgin,"['Drama', 'Romance']",2.5,3.03,117,['Turkey'],Turkish,['Turkish'],20345,816,1569,"['Çağatay Ulusoy', 'Leyla Lydia Tuğutlu', 'Hüseyin Avni Danyal', 'Nazan Kesal', 'Mustafa Avkıran', 'Laçin Ceylan', 'Toprak Sağlam', 'Barış Aytaç', 'Zafer Akkoyun', 'Kıvılcım Ural', 'Ali Seyitoglu', 'Emre Karaoglu', 'Baturalp Yilmaz', 'Defne Kayalar']",['Ay Yapım'],https://letterboxd.com//film/delibal/
Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,"['Family', 'Comedy', 'Animation', 'Adventure']",2,1.89,92,['USA'],English,['English'],80610,6980,5121,"['Jason Lee', 'Justin Long', 'Bella Thorne', 'Matthew Gray Gubler', 'Jesse McCartney', 'Kaley Cuoco', 'Kimberly Williams-Paisley', 'Anna Faris', 'Christina Applegate', 'Laura Marano', 'Tony Hale', 'Jesica Ahlberg', 'Leticia Jimenez', 'Kevin Wayne', 'Joshua Mikel', 'Josh Green', 'Eddie Steeples', 'Jose D. Xuconoxtli Jr.', 'Keith Arthur Bolden', 'Jeremy Ray Taylor', 'Mike Senior', 'Zeeko Zaki', 'Jennifer Coolidge', 'Uzo Aduba', 'Derryl Rivers', 'Retta', 'Flula Borg', 'John Waters', 'John Lacy', 'B.J. Winfrey', 'Mark Jeffrey Miller', 'John Kap', 'Tracy Goode', 'Denitra Isler', 'Candace B. Harris', 'Justin Miles', 'David DeSantos', 'Shatoya McClintock', 'Joseph Lavender', 'Hakim Callender', 'Benny Demus', 'Gabrielle Lexa', 'Brooke A. Belcher', 'Onira Tarés', 'Charmin Lee', 'Ellie Knaus', 'Stefan Gordy', 'Ross Bagdasarian, Jr.', 'Janice Karman', 'Landon Cheves', 'Katrine Hoyt', 'Ken La Kier']","['TSG Entertainment', 'Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Productions', 'Sunswept Entertainment']",https://letterboxd.com//film/alvin-and-the-chipmunks-the-road-chip/
